fight_id,fighter_id,opening,closing_range_min,closing_range_max
c442899c21d58779,04835018f90b118c,-198,-200,-175
d684d8b02ab53031,04835018f90b118c,150,130,152
dd9cbf6d6284de26,04835018f90b118c,-155,-190,-150
34d1bfdde8ea3e11,049d698d773eb3e1,260,280,280
4b9203b86f0aa870,049d698d773eb3e1,240,270,270
014a3acf91ada8af,04b39f4e8eb59d7c,-110,110,120
1e3c67921162561d,04b39f4e8eb59d7c,-105,122,140
3daf1c5fb854e626,04b39f4e8eb59d7c,-170,-185,-180
664e56d8a98e2b49,04b39f4e8eb59d7c,200,260,275
6b581bb1bc9289ef,04b39f4e8eb59d7c,165,225,230
478b0eaf22475be0,04c15b52c3cc1cab,265,400,400
f046dfa306dc7acb,04c15b52c3cc1cab,130,145,145
0716a38768a34789,04c8b08b16a5b99e,-180,-180,-172
1e3d3545b6dd13a7,04c8b08b16a5b99e,190,-150,-139
2c0496a5f39ab8a4,04c8b08b16a5b99e,-175,-163,-126
3637e661b6854b49,04c8b08b16a5b99e,220,450,470
3cbd3565dd631cc4,04c8b08b16a5b99e,-220,-180,-165
75570ea2da94a4fb,04c8b08b16a5b99e,-115,100,110
88d3b6b833e31712,04c8b08b16a5b99e,-210,-250,-228
995e79b951da945b,04c8b08b16a5b99e,-160,103,110
d40eae4425092219,04c8b08b16a5b99e,-115,-430,-188
f0cf92b063735164,04c8b08b16a5b99e,-260,-400,-365
2571e91b263df9fb,04d5718ed2661e8c,-170,-165,-165
66f0238fac31130f,04d5718ed2661e8c,-115,125,125
958bd435389dd12a,04d5718ed2661e8c,-130,-115,-115
d036a7aeab47cf8c,04d5718ed2661e8c,-225,-160,-160
1298d89922befa8c,052ceb8976695342,-225,-245,-245
dd56acbfb08aa6b2,052ceb8976695342,160,220,220
040f227553de7838,05339613bf8e9808,110,125,160
0b557aeb2169b59f,05339613bf8e9808,-150,-177,-175
148c26038e80465b,05339613bf8e9808,190,117,120
18cdc16fc7ab7ce1,05339613bf8e9808,-215,-220,-205
19c8092496e94b85,05339613bf8e9808,130,130,170
246d06693b5ca1e8,05339613bf8e9808,-142,-145,-120
3109d1151f149aaf,05339613bf8e9808,-115,-152,-125
4da4c5ef6a4ffc5b,05339613bf8e9808,135,-165,-161
554163b1c8c05522,05339613bf8e9808,250,275,310
5ae5eb729c6bb169,05339613bf8e9808,-175,-135,-105
63b35df1276b3d64,05339613bf8e9808,-210,-285,-270
678d27af287476f8,05339613bf8e9808,160,133,176
889207e3c622a5aa,05339613bf8e9808,135,120,125
8955ea3c7c332e6c,05339613bf8e9808,150,140,150
944b929130b23c2a,05339613bf8e9808,-225,-135,-120
a5a065cb6d33ba9e,05339613bf8e9808,-215,-275,-265
b9ff9ebe19ae6358,05339613bf8e9808,-160,-161,-132
c576e311ea337a32,05339613bf8e9808,140,160,170
d16f7ab4e28171ea,05339613bf8e9808,-125,-132,-124
f01b97e864cb4b8b,05339613bf8e9808,185,375,475
10b19bb48aadc6bd,0541480fbf719d86,-270,-270,-270
505d3d9b006014c8,0541480fbf719d86,-260,-240,-240
79db1d9b15e16b1d,0541480fbf719d86,-260,-165,-165
9d59ae86a2e6c444,0541480fbf719d86,-215,-165,-165
de2328aa13e5ecdc,0541480fbf719d86,-270,-230,-230
0700b74037329215,054defd5420a551f,-160,-170,-170
0a5d29e380f1e3e0,054defd5420a551f,175,180,180
1992dcae0699200e,054defd5420a551f,105,-110,-110
5a9ecff594dc6bb9,054defd5420a551f,-160,-185,-185
92dea6ff8f0c1b10,054defd5420a551f,-225,-195,-195
a561360edf66ee6f,054defd5420a551f,-270,-240,-240
de2513c984996c8c,054defd5420a551f,180,185,185
01e5e4099f03f20e,05560764359161e4,-170,115,115
04df2fbb108b23c1,05560764359161e4,135,125,125
0f3e6876516edeaf,05560764359161e4,285,300,360
2d14f73c374f2875,05560764359161e4,160,145,160
2f5e137118d57d0e,05560764359161e4,-145,-190,-190
526790a5b3c4b5a2,05560764359161e4,105,105,135
560cec2acc9b0a13,05560764359161e4,200,175,175
76d18b94f580be6e,05560764359161e4,220,166,166
d9834a03626a3c06,05560764359161e4,-175,-155,-145
1dc29f4c6fcdd356,056c493bbd76a918,210,200,225
20dda78057d17a5a,056c493bbd76a918,285,280,285
28c33e9353dac666,056c493bbd76a918,-475,-1275,-1200
383f0de18e7ab9c5,056c493bbd76a918,-215,-260,-225
4e77cc2c8d604241,056c493bbd76a918,-245,-230,-189
5e1370a92ce8abb0,056c493bbd76a918,180,160,163
6b07c3a9a95493cf,056c493bbd76a918,-475,-750,-750
85511ab7fd9ed061,056c493bbd76a918,135,185,205
9785420602b452f7,056c493bbd76a918,-135,210,250
b959e2c1d16ff832,056c493bbd76a918,165,200,215
cc2809e10315a6b5,056c493bbd76a918,-385,-320,-285
cf4199c8517bc1fd,056c493bbd76a918,150,136,145
e3aad51099a23ba4,056c493bbd76a918,130,-135,100
e8d087f822be7b02,056c493bbd76a918,-300,-550,-500
f2ca358ea9bec156,056c493bbd76a918,325,375,385
fdde8777c7ae9769,056c493bbd76a918,-420,-410,-400
65270a16c25b59ad,0577808d22dfe79c,110,133,133
c63a050af0692daf,0577808d22dfe79c,160,-105,-105
7929542a0003799f,05866d8c3a321856,175,185,185
98a1121ffbc47657,05866d8c3a321856,-115,130,130
8d26509990b6e518,058e4e08a1ad8aba,130,178,178
bb0794053766a866,058e4e08a1ad8aba,100,160,160
c4e16d57dd9a1b39,058e4e08a1ad8aba,245,245,245
47628ab025f19796,05b43e0ead3df345,-110,120,135
5a09a7a3f2792d1a,05b43e0ead3df345,-110,-148,-145
5ae45d20a60dc109,05b43e0ead3df345,-170,-125,-120
8bfa9df5341c95c0,05b43e0ead3df345,-300,-360,-325
d1c4c06780cbd36e,05b43e0ead3df345,-210,-250,-240
e7859b4e70d4a9c1,05b43e0ead3df345,100,-122,-110
e80a8338d86e730b,05b43e0ead3df345,110,152,155
13129c1f044fdd47,05fa626cb33d15b8,-185,-185,-175
1ada4b9ee5810e0f,05fa626cb33d15b8,150,140,148
2b894d87ad9aae05,05fa626cb33d15b8,120,-104,104
6222cdc86b12d251,05fa626cb33d15b8,-350,-357,-340
764012f51c7dc223,05fa626cb33d15b8,-240,-303,-270
77f123712368bcbc,05fa626cb33d15b8,-165,-250,-222
7e047b195135ef06,05fa626cb33d15b8,-145,-139,-122
8c7b5b21b3532027,05fa626cb33d15b8,275,250,275
9433730f95d52fc8,05fa626cb33d15b8,165,210,240
a91fdb21a7ff52e5,05fa626cb33d15b8,-138,-175,-150
